month,keyword_index
2004-01,0
2004-02,0
2004-03,0
2004-04,29
2004-05,27
2004-06,0
2004-07,35
2004-08,28
2004-09,16
2004-10,37
2004-11,21
2004-12,14
2005-01,18
2005-02,15
2005-03,23
2005-04,25
2005-05,19
2005-06,22
2005-07,17
2005-08,24
2005-09,17
2005-10,38
2005-11,17
2005-12,15
2006-01,19
2006-02,16
2006-03,13
2006-04,14
2006-05,14
2006-06,22
2006-07,14
2006-08,19
2006-09,22
2006-10,37
2006-11,14
2006-12,17
2007-01,14
2007-02,18
2007-03,19
2007-04,13
2007-05,14
2007-06,19
2007-07,16
2007-08,25
2007-09,20
2007-10,38
2007-11,21
2007-12,21
2008-01,21
2008-02,22
2008-03,14
2008-04,21
2008-05,21
2008-06,25
2008-07,25
2008-08,22
2008-09,21
2008-10,45
2008-11,23
2008-12,30
2009-01,25
2009-02,22
2009-03,28
2009-04,21
2009-05,23
2009-06,26
2009-07,32
2009-08,28
2009-09,24
2009-10,53
2009-11,28
2009-12,32
2010-01,30
2010-02,31
2010-03,29
2010-04,25
2010-05,24
2010-06,25
2010-07,35
2010-08,31
2010-09,27
2010-10,45
2010-11,25
2010-12,31
2011-01,29
2011-02,32
2011-03,28
2011-04,30
2011-05,32
2011-06,32
2011-07,41
2011-08,35
2011-09,36
2011-10,53
2011-11,37
2011-12,42
2012-01,37
2012-02,42
2012-03,36
2012-04,33
2012-05,35
2012-06,38
2012-07,45
2012-08,47
2012-09,41
2012-10,56
2012-11,47
2012-12,48
2013-01,39
2013-02,45
2013-03,47
2013-04,38
2013-05,39
2013-06,39
2013-07,41
2013-08,41
2013-09,39
2013-10,49
2013-11,40
2013-12,40
2014-01,35
2014-02,39
2014-03,39
2014-04,38
2014-05,35
2014-06,37
2014-07,42
2014-08,42
2014-09,39
2014-10,58
2014-11,41
2014-12,41
2015-01,36
2015-02,36
2015-03,36
2015-04,38
2015-05,39
2015-06,41
2015-07,42
2015-08,44
2015-09,42
2015-10,63
2015-11,44
2015-12,39
2016-01,43
2016-02,44
2016-03,50
2016-04,49
2016-05,49
2016-06,49
2016-07,55
2016-08,46
2016-09,54
2016-10,73
2016-11,53
2016-12,50
2017-01,48
2017-02,54
2017-03,54
2017-04,58
2017-05,54
2017-06,63
2017-07,69
2017-08,67
2017-09,61
2017-10,78
2017-11,65
2017-12,61
2018-01,61
2018-02,69
2018-03,67
2018-04,60
2018-05,61
2018-06,69
2018-07,74
2018-08,80
2018-09,75
2018-10,90
2018-11,68
2018-12,70
2019-01,67
2019-02,70
2019-03,71
2019-04,65
2019-05,64
2019-06,76
2019-07,82
2019-08,81
2019-09,75
2019-10,92
2019-11,77
2019-12,75
2020-01,69
2020-02,78
2020-03,53
2020-04,40
2020-05,70
2020-06,89
2020-07,90
2020-08,82
2020-09,84
2020-10,89
2020-11,69
2020-12,66
2021-01,71
2021-02,74
2021-03,78
2021-04,76
2021-05,76
2021-06,78
2021-07,89
2021-08,83
2021-09,84
2021-10,100
2021-11,78
2021-12,74
2022-01,77
2022-02,81
2022-03,82
2022-04,77
2022-05,75
2022-06,80
2022-07,89
2022-08,90
2022-09,82
2022-10,92
2022-11,71
2022-12,72
2023-01,74
2023-02,79
2023-03,78
2023-04,78
2023-05,73
2023-06,75
2023-07,88
2023-08,84
2023-09,80
2023-10,82
2023-11,75
2023-12,76
2024-01,73
2024-02,68
2024-03,72
2024-04,69
2024-05,69
2024-06,76
